byte_hex,status,urdu_kashmiri_best_fit,sindhi_best_fit,lossless_vpua_1,raw_vpua_1,provenance
CA,assigned,0656,0656,F8CCA,F8DCA,cdac_cell_unicode17_name_glyph
CB,assigned,FBC2,FBC2,F8CCB,F8DCB,cdac_cell_unicode17_nearest_best_fit
CC,assigned,2026,2026,F8CCC,F8DCC,cdac_cell_unicode17_name_glyph
CD,assigned,0614,0614,F8CCD,F8DCD,cdac_cell_unicode17_name_glyph
CE,assigned,060C,060C,F8CCE,F8DCE,cdac_cell_unicode17_name_glyph
CF,assigned,0610,0610,F8CCF,F8DCF,cdac_cell_unicode17_name_glyph
D0,assigned,0613,0613,F8CD0,F8DD0,cdac_cell_unicode17_name_glyph
D1,assigned,0612,0612,F8CD1,F8DD1,cdac_cell_unicode17_name_glyph
D2,assigned,0611,0611,F8CD2,F8DD2,cdac_cell_unicode17_name_glyph
D3,assigned,08D7,08D7,F8CD3,F8DD3,cdac_cell_unicode17_name_glyph
D4,assigned,F8CD4,F8CD4,F8CD4,F8DD4,cdac_cell_iconvex_vpua
D5,assigned,06D9,06D9,F8CD5,F8DD5,cdac_cell_unicode17_name_glyph
D6,assigned,06DA,06DA,F8CD6,F8DD6,cdac_cell_unicode17_name_glyph
D7,assigned,06E2,06E2,F8CD7,F8DD7,cdac_cell_unicode17_name_glyph
D8,assigned,0601,0601,F8CD8,F8DD8,cdac_cell_unicode17_name_glyph
D9,assigned,066A,066A,F8CD9,F8DD9,cdac_cell_unicode17_name_glyph
DA,assigned,066C,066C,F8CDA,F8DDA,cdac_cell_unicode17_name_glyph
DB,assigned,066B,066B,F8CDB,F8DDB,cdac_cell_unicode17_name_glyph
DC,assigned,06F0,06F0,F8CDC,F8DDC,cdac_cell_unicode17_name_glyph
DD,assigned,06F1,06F1,F8CDD,F8DDD,cdac_cell_unicode17_name_glyph
DE,assigned,06F2,06F2,F8CDE,F8DDE,cdac_cell_unicode17_name_glyph
DF,assigned,06F3,06F3,F8CDF,F8DDF,cdac_cell_unicode17_name_glyph
E0,assigned,06F4,06F4,F8CE0,F8DE0,cdac_cell_unicode17_name_glyph
E1,assigned,06F5,06F5,F8CE1,F8DE1,cdac_cell_unicode17_name_glyph
E2,assigned,06F6,06F6,F8CE2,F8DE2,cdac_cell_unicode17_name_glyph
E3,assigned,06F7,06F7,F8CE3,F8DE3,cdac_cell_unicode17_name_glyph
E4,assigned,06F8,06F8,F8CE4,F8DE4,cdac_cell_unicode17_name_glyph
E5,assigned,06F9,06F9,F8CE5,F8DE5,cdac_cell_unicode17_name_glyph
E6,assigned,0021,0021,F8CE6,F8DE6,cdac_cell_unicode17_name_glyph
E7,assigned,201C,201C,F8CE7,F8DE7,cdac_cell_unicode17_name_glyph
E8,assigned,201D,201D,F8CE8,F8DE8,cdac_cell_unicode17_name_glyph
E9,assigned,2018,2018,F8CE9,F8DE9,cdac_cell_unicode17_name_glyph
EA,assigned,2019,2019,F8CEA,F8DEA,cdac_cell_unicode17_name_glyph
EB,assigned,0028,0028,F8CEB,F8DEB,cdac_cell_unicode17_name_glyph
EC,assigned,0029,0029,F8CEC,F8DEC,cdac_cell_unicode17_name_glyph
ED,assigned,066D,066D,F8CED,F8DED,cdac_cell_unicode17_name_glyph
EE,assigned,002B,002B,F8CEE,F8DEE,cdac_cell_unicode17_name_glyph
EF,assigned,F8CEF,F8CEF,F8CEF,F8DEF,cdac_cell_iconvex_vpua
F0,assigned,002D,002D,F8CF0,F8DF0,cdac_cell_unicode17_name_glyph
F1,assigned,002F,002F,F8CF1,F8DF1,cdac_cell_unicode17_name_glyph
F2,assigned,061B,061B,F8CF2,F8DF2,cdac_cell_unicode17_name_glyph
F3,assigned,003A,003A,F8CF3,F8DF3,cdac_cell_unicode17_name_glyph
F4,assigned,061F,061F,F8CF4,F8DF4,cdac_cell_unicode17_name_glyph
F5,assigned,003D,003D,F8CF5,F8DF5,cdac_cell_unicode17_name_glyph
F6,assigned,06D4,06D4,F8CF6,F8DF6,cdac_cell_unicode17_name_glyph
F7,assigned,06DD,06DD,F8CF7,F8DF7,cdac_cell_unicode17_name_glyph
F8,assigned,25CF,25CF,F8CF8,F8DF8,cdac_cell_unicode17_nearest
F9,assigned,066C,066C,F8CF9,F8DF9,cdac_cell_unicode17_name_glyph
FA,reserved,,,,F8DFA,cdac_reserved
FB,reserved,,,,F8DFB,cdac_reserved
FC,assigned,25CC,25CC,F8CFC,F8DFC,cdac_cell_unicode17_nearest
FD,assigned,00B7,00B7,F8CFD,F8DFD,cdac_cell_unicode17_name_glyph
FE,reserved,,,,F8DFE,cdac_reserved
FF,reserved,,,,F8DFF,cdac_reserved
